s,CH1[V]
-1.8316E-02,3.69E-02
-1.8312E-02,3.69E-02
-1.8308E-02,-4.31E-02
-1.8304E-02,-4.31E-02
-1.8300E-02,3.69E-02
-1.8296E-02,-2.03E-01
-1.8292E-02,-4.31E-02
-1.8288E-02,-4.31E-02
-1.8284E-02,-4.31E-02
-1.8280E-02,1.17E-01
-1.8276E-02,-4.31E-02
-1.8272E-02,3.69E-02
-1.8268E-02,1.17E-01
-1.8264E-02,-4.31E-02
-1.8260E-02,-4.31E-02
-1.8256E-02,3.69E-02
-1.8252E-02,3.69E-02
-1.8248E-02,-4.31E-02
-1.8244E-02,-4.31E-02
-1.8240E-02,3.69E-02
-1.8236E-02,3.69E-02
-1.8232E-02,-4.31E-02
-1.8228E-02,3.69E-02
-1.8224E-02,-4.31E-02
-1.8220E-02,-4.31E-02
-1.8216E-02,3.69E-02
-1.8212E-02,3.69E-02
-1.8208E-02,-4.31E-02
-1.8204E-02,3.69E-02
-1.8200E-02,3.69E-02
-1.8196E-02,-4.31E-02
-1.8192E-02,3.69E-02
-1.8188E-02,3.69E-02
-1.8184E-02,3.69E-02
-1.8180E-02,-1.23E-01
-1.8176E-02,-4.31E-02
-1.8172E-02,3.69E-02
-1.8168E-02,3.69E-02
-1.8164E-02,3.69E-02
-1.8160E-02,-4.31E-02
-1.8156E-02,3.69E-02
-1.8152E-02,-4.31E-02
-1.8148E-02,3.69E-02
-1.8144E-02,-4.31E-02
-1.8140E-02,1.17E-01
-1.8136E-02,-4.31E-02
-1.8132E-02,-4.31E-02
-1.8128E-02,3.69E-02
-1.8124E-02,-4.31E-02
-1.8120E-02,1.17E-01
-1.8116E-02,3.69E-02
-1.8112E-02,-4.31E-02
-1.8108E-02,-4.31E-02
-1.8104E-02,-4.31E-02
-1.8100E-02,-4.31E-02
-1.8096E-02,-4.31E-02
-1.8092E-02,-4.31E-02
-1.8088E-02,3.69E-02
-1.8084E-02,3.69E-02
-1.8080E-02,-4.31E-02
-1.8076E-02,-4.31E-02
-1.8072E-02,-4.31E-02
-1.8068E-02,-4.31E-02
-1.8064E-02,-4.31E-02
-1.8060E-02,3.69E-02
-1.8056E-02,3.69E-02
-1.8052E-02,-4.31E-02
-1.8048E-02,-4.31E-02
-1.8044E-02,-4.31E-02
-1.8040E-02,3.69E-02
-1.8036E-02,-4.31E-02
-1.8032E-02,-4.31E-02
-1.8028E-02,-4.31E-02
-1.8024E-02,-4.31E-02
-1.8020E-02,-4.31E-02
-1.8016E-02,3.69E-02
-1.8012E-02,-4.31E-02
-1.8008E-02,-4.31E-02
-1.8004E-02,3.69E-02
-1.8000E-02,3.69E-02
-1.7996E-02,-4.31E-02
-1.7992E-02,-4.31E-02
-1.7988E-02,-4.31E-02
-1.7984E-02,-4.31E-02
-1.7980E-02,-4.31E-02
-1.7976E-02,3.69E-02
-1.7972E-02,-4.31E-02
-1.7968E-02,3.69E-02
-1.7964E-02,-4.31E-02
-1.7960E-02,3.69E-02
-1.7956E-02,-4.31E-02
-1.7952E-02,-4.31E-02
-1.7948E-02,3.69E-02
-1.7944E-02,-4.31E-02
-1.7940E-02,3.69E-02
-1.7936E-02,-4.31E-02
-1.7932E-02,-1.23E-01
-1.7928E-02,-4.31E-02
-1.7924E-02,3.69E-02
-1.7920E-02,3.69E-02
-1.7916E-02,3.69E-02
-1.7912E-02,-4.31E-02
-1.7908E-02,-4.31E-02
-1.7904E-02,3.69E-02
-1.7900E-02,3.69E-02
-1.7896E-02,-4.31E-02
-1.7892E-02,-4.31E-02
-1.7888E-02,3.69E-02
-1.7884E-02,-4.31E-02
-1.7880E-02,-4.31E-02
-1.7876E-02,3.69E-02
-1.7872E-02,-4.31E-02
-1.7868E-02,-4.31E-02
-1.7864E-02,-4.31E-02
-1.7860E-02,3.69E-02
-1.7856E-02,-4.31E-02
-1.7852E-02,-4.31E-02
-1.7848E-02,-4.31E-02
-1.7844E-02,-4.31E-02
-1.7840E-02,3.69E-02
-1.7836E-02,-4.31E-02
-1.7832E-02,-4.31E-02
-1.7828E-02,-4.31E-02
-1.7824E-02,-4.31E-02
-1.7820E-02,3.69E-02
-1.7816E-02,-4.31E-02
-1.7812E-02,-4.31E-02
-1.7808E-02,3.69E-02
-1.7804E-02,3.69E-02
-1.7800E-02,-4.31E-02
-1.7796E-02,3.69E-02
-1.7792E-02,3.69E-02
-1.7788E-02,2.77E-01
-1.7784E-02,3.69E-02
-1.7780E-02,-4.31E-02
-1.7776E-02,3.69E-02
-1.7772E-02,-4.31E-02
-1.7768E-02,3.69E-02
-1.7764E-02,3.69E-02
-1.7760E-02,-4.31E-02
-1.7756E-02,3.69E-02
-1.7752E-02,3.69E-02
-1.7748E-02,-4.31E-02
-1.7744E-02,-4.31E-02
-1.7740E-02,3.69E-02
-1.7736E-02,3.69E-02
-1.7732E-02,3.69E-02
-1.7728E-02,3.69E-02
-1.7724E-02,-1.23E-01
-1.7720E-02,-4.31E-02
-1.7716E-02,3.69E-02
-1.7712E-02,3.69E-02
-1.7708E-02,1.17E-01
-1.7704E-02,3.69E-02
-1.7700E-02,3.69E-02
-1.7696E-02,-4.31E-02
-1.7692E-02,3.69E-02
-1.7688E-02,-4.31E-02
-1.7684E-02,3.69E-02
-1.7680E-02,3.69E-02
-1.7676E-02,3.69E-02
-1.7672E-02,3.69E-02
-1.7668E-02,3.69E-02
-1.7664E-02,3.69E-02
-1.7660E-02,-4.31E-02
-1.7656E-02,3.69E-02
-1.7652E-02,3.69E-02
-1.7648E-02,3.69E-02
-1.7644E-02,1.17E-01
-1.7640E-02,1.17E-01
-1.7636E-02,-1.23E-01
-1.7632E-02,-1.23E-01
-1.7628E-02,3.69E-02
-1.7624E-02,3.69E-02
-1.7620E-02,3.69E-02
-1.7616E-02,-4.31E-02
-1.7612E-02,-4.31E-02
-1.7608E-02,1.97E-01
-1.7604E-02,1.17E-01
-1.7600E-02,1.97E-01
-1.7596E-02,1.17E-01
-1.7592E-02,3.69E-02
-1.7588E-02,-4.31E-02
-1.7584E-02,-4.31E-02
-1.7580E-02,3.69E-02
-1.7576E-02,1.97E-01
-1.7572E-02,3.69E-02
-1.7568E-02,3.69E-02
-1.7564E-02,3.69E-02
-1.7560E-02,3.69E-02
-1.7556E-02,-4.31E-02
-1.7552E-02,3.69E-02
-1.7548E-02,3.69E-02
-1.7544E-02,1.97E-01
-1.7540E-02,1.97E-01
-1.7536E-02,1.97E-01
-1.7532E-02,-4.31E-02
-1.7528E-02,3.69E-02
-1.7524E-02,3.69E-02
-1.7520E-02,-4.31E-02
-1.7516E-02,3.69E-02
-1.7512E-02,3.69E-02
-1.7508E-02,-4.31E-02
-1.7504E-02,1.17E-01
-1.7500E-02,3.69E-02
-1.7496E-02,-4.31E-02
-1.7492E-02,-4.31E-02
-1.7488E-02,-4.31E-02
-1.7484E-02,3.69E-02
-1.7480E-02,1.17E-01
-1.7476E-02,1.17E-01
-1.7472E-02,1.17E-01
-1.7468E-02,-4.31E-02
-1.7464E-02,-4.31E-02
-1.7460E-02,-4.31E-02
-1.7456E-02,-4.31E-02
-1.7452E-02,1.17E-01
-1.7448E-02,3.69E-02
-1.7444E-02,3.69E-02
-1.7440E-02,3.69E-02
-1.7436E-02,3.69E-02
-1.7432E-02,3.69E-02
-1.7428E-02,-4.31E-02
-1.7424E-02,3.69E-02
-1.7420E-02,-4.31E-02
-1.7416E-02,1.17E-01
-1.7412E-02,3.69E-02
-1.7408E-02,-4.31E-02
-1.7404E-02,3.69E-02
-1.7400E-02,-4.31E-02
-1.7396E-02,3.69E-02
-1.7392E-02,-4.31E-02
-1.7388E-02,3.69E-02
-1.7384E-02,3.69E-02
-1.7380E-02,1.17E-01
-1.7376E-02,3.69E-02
-1.7372E-02,3.69E-02
-1.7368E-02,-1.23E-01
-1.7364E-02,-4.31E-02
-1.7360E-02,1.17E-01
-1.7356E-02,3.69E-02
-1.7352E-02,-4.31E-02
-1.7348E-02,-4.31E-02
-1.7344E-02,-4.31E-02
-1.7340E-02,-4.31E-02
-1.7336E-02,-1.23E-01
-1.7332E-02,-4.31E-02
-1.7328E-02,-4.31E-02
-1.7324E-02,3.69E-02
-1.7320E-02,3.69E-02
-1.7316E-02,3.69E-02
-1.7312E-02,-4.31E-02
-1.7308E-02,-4.31E-02
-1.7304E-02,-4.31E-02
-1.7300E-02,3.69E-02
-1.7296E-02,-4.31E-02
-1.7292E-02,3.69E-02
-1.7288E-02,-4.31E-02
-1.7284E-02,-4.31E-02
-1.7280E-02,-4.31E-02
-1.7276E-02,3.69E-02
-1.7272E-02,3.69E-02
-1.7268E-02,3.69E-02
-1.7264E-02,-4.31E-02
-1.7260E-02,-4.31E-02
-1.7256E-02,-4.31E-02
-1.7252E-02,3.69E-02
-1.7248E-02,-1.23E-01
-1.7244E-02,3.69E-02
-1.7240E-02,-4.31E-02
-1.7236E-02,3.69E-02
-1.7232E-02,-4.31E-02
-1.7228E-02,3.69E-02
-1.7224E-02,-4.31E-02
-1.7220E-02,-4.31E-02
-1.7216E-02,3.69E-02
-1.7212E-02,3.69E-02
-1.7208E-02,3.69E-02
-1.7204E-02,-4.31E-02
-1.7200E-02,-4.31E-02
-1.7196E-02,3.69E-02
-1.7192E-02,-4.31E-02
-1.7188E-02,-4.31E-02
-1.7184E-02,3.69E-02
-1.7180E-02,-4.31E-02
-1.7176E-02,-4.31E-02
-1.7172E-02,-4.31E-02
-1.7168E-02,3.69E-02
-1.7164E-02,-4.31E-02
-1.7160E-02,3.69E-02
-1.7156E-02,-4.31E-02
-1.7152E-02,-1.23E-01
-1.7148E-02,3.69E-02
-1.7144E-02,-4.31E-02
-1.7140E-02,3.69E-02
-1.7136E-02,3.69E-02
-1.7132E-02,3.69E-02
-1.7128E-02,3.69E-02
-1.7124E-02,-4.31E-02
-1.7120E-02,-4.31E-02
-1.7116E-02,-4.31E-02
-1.7112E-02,-4.31E-02
-1.7108E-02,-4.31E-02
-1.7104E-02,-4.31E-02
-1.7100E-02,-4.31E-02
-1.7096E-02,3.69E-02
-1.7092E-02,-4.31E-02
-1.7088E-02,-4.31E-02
-1.7084E-02,-4.31E-02
-1.7080E-02,3.69E-02
-1.7076E-02,-4.31E-02
-1.7072E-02,3.69E-02
-1.7068E-02,3.69E-02
-1.7064E-02,-4.31E-02
-1.7060E-02,-4.31E-02
-1.7056E-02,3.69E-02
-1.7052E-02,-4.31E-02
-1.7048E-02,-4.31E-02
-1.7044E-02,-4.31E-02
-1.7040E-02,3.69E-02
-1.7036E-02,-4.31E-02
-1.7032E-02,-4.31E-02
-1.7028E-02,-4.31E-02
-1.7024E-02,-4.31E-02
-1.7020E-02,1.17E-01
-1.7016E-02,3.69E-02
-1.7012E-02,-4.31E-02
-1.7008E-02,-1.23E-01
-1.7004E-02,-4.31E-02
-1.7000E-02,-4.31E-02
-1.6996E-02,-4.31E-02
-1.6992E-02,3.69E-02
-1.6988E-02,-4.31E-02
-1.6984E-02,-4.31E-02
-1.6980E-02,3.69E-02
-1.6976E-02,-4.31E-02
-1.6972E-02,3.69E-02
-1.6968E-02,-4.31E-02
-1.6964E-02,-4.31E-02
-1.6960E-02,3.69E-02
-1.6956E-02,-4.31E-02
-1.6952E-02,3.69E-02
-1.6948E-02,-4.31E-02
